epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,520.453,1.00835,6.94125,1.08579,0.00302,0.78378,0.14297,0.12326,0.70554,5.62667,1.02813,0.00012,0.00012,0.00012
2,953.376,1.0161,7.40259,1.05031,0.00354,0.91892,0.55234,0.41582,0.91925,5.90543,1.07057,0.000257426,0.000257426,0.000257426
3,1368.93,0.98128,5.82577,1.03673,0.00354,0.91892,0.55486,0.41525,0.99755,5.98763,1.14816,0.00039208,0.00039208,0.00039208
4,1798.74,1.00716,5.44241,1.03723,0.00344,0.89189,0.437,0.33185,1.02332,6.03423,1.15979,0.000523962,0.000523962,0.000523962
5,2719.87,0.94628,4.94624,0.97867,1,0.07135,0.50576,0.34853,1.06277,6.01611,1.18882,0.000653072,0.000653072,0.000653072
