epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3884.47,0.80333,0.81934,0.93765,0.81056,0.56757,0.68018,0.4389,1.17971,1.39382,1.18241,0.0011882,0.0011882,0.0011882
43,3956.89,0.83113,0.78871,0.92278,0.81308,0.58802,0.68598,0.44375,1.13365,1.33955,1.1542,0.0011684,0.0011684,0.0011684
44,4028.96,0.82996,0.81879,0.9235,0.81939,0.64865,0.70053,0.47023,1.18414,1.35888,1.17444,0.0011486,0.0011486,0.0011486
45,4100.64,0.82714,0.83687,0.91777,0.86018,0.67568,0.72671,0.4619,1.17154,1.37098,1.1693,0.0011288,0.0011288,0.0011288
46,4173.75,0.7802,0.79362,0.9147,0.82083,0.61917,0.73904,0.49689,1.12558,1.2332,1.149,0.001109,0.001109,0.001109
47,4245.61,0.81566,0.74768,0.91664,0.79487,0.67568,0.75201,0.48233,1.06072,1.24423,1.10304,0.0010892,0.0010892,0.0010892
48,4317.81,0.77837,0.76197,0.91828,0.74233,0.78378,0.73819,0.49785,1.06208,1.24356,1.10098,0.0010694,0.0010694,0.0010694
49,4389.65,0.80544,0.8017,0.93065,0.80077,0.78378,0.76402,0.51593,1.05993,1.19695,1.09965,0.0010496,0.0010496,0.0010496
50,4461.74,0.77675,0.74377,0.90076,0.85101,0.77208,0.78931,0.51373,1.09799,1.23065,1.11213,0.0010298,0.0010298,0.0010298
51,4533.17,0.75728,0.72763,0.89914,0.79333,0.67568,0.73591,0.46802,1.14011,1.32921,1.14995,0.00101,0.00101,0.00101
52,4606.51,0.75583,0.71983,0.90571,0.75462,0.75676,0.68267,0.46222,1.18692,1.31851,1.18302,0.0009902,0.0009902,0.0009902
53,4678.1,0.74208,0.72543,0.9124,0.76178,0.69163,0.69858,0.47436,1.16072,1.28083,1.14997,0.0009704,0.0009704,0.0009704
54,4749.84,0.78483,0.7662,0.91547,0.87277,0.62162,0.70708,0.46364,1.09165,1.31043,1.1137,0.0009506,0.0009506,0.0009506
55,4821.85,0.74312,0.6855,0.9009,0.8496,0.62162,0.68882,0.44256,1.1091,1.33578,1.12222,0.0009308,0.0009308,0.0009308
